Order ID,Order Date,State,Category,Segment,Quantity,Sub-Category,City,Sales,Profit
ORD-10023,2021-01-01 23:00:00,Illinois,Furniture,Home Office,9,Bookcases,Aurora,1455.36,389.21
ORD-10024,2021-01-02 00:00:00,Georgia,Office Supplies,Home Office,9,Binders,Savannah,957.85,-89.72
ORD-10025,2021-01-02 01:00:00,California,Technology,Corporate,7,Laptops,Los Angeles,37.82,1.12
ORD-10026,2021-01-02 02:00:00,Michigan,Technology,Consumer,8,Accessories,Ann Arbor,35.68,3.8
ORD-10027,2021-01-02 03:00:00,New York,Furniture,Corporate,6,Chairs,Rochester,1326.01,-173.3
ORD-10028,2021-01-02 04:00:00,Pennsylvania,Technology,Corporate,1,Laptops,Allentown,1696.0,209.2
ORD-10029,2021-01-02 05:00:00,Florida,Office Supplies,Corporate,1,Storage,Miami,1572.69,-62.9
ORD-10030,2021-01-02 06:00:00,Georgia,Furniture,Consumer,6,Chairs,Augusta,627.7,-46.3
ORD-10031,2021-01-02 07:00:00,New York,Office Supplies,Consumer,2,Paper,Buffalo,947.54,-115.55
ORD-10032,2021-01-02 08:00:00,Washington,Office Supplies,Corporate,8,Storage,Spokane,475.98,-3.6
ORD-10033,2021-01-02 09:00:00,New York,Office Supplies,Consumer,1,Paper,Buffalo,1978.41,615.17
ORD-10034,2021-01-02 10:00:00,Pennsylvania,Technology,Corporate,2,Laptops,Philadelphia,528.41,-96.67
ORD-10035,2021-01-02 11:00:00,Washington,Technology,Consumer,8,Laptops,Tacoma,838.36,225.26
ORD-10036,2021-01-02 12:00:00,Georgia,Office Supplies,Consumer,6,Binders,Atlanta,1365.45,25.33
ORD-10037,2021-01-02 13:00:00,Pennsylvania,Office Supplies,Home Office,2,Storage,Allentown,1753.28,190.9
ORD-10038,2021-01-02 14:00:00,Texas,Furniture,Corporate,2,Tables,Houston,112.44,9.23
ORD-10039,2021-01-02 15:00:00,Florida,Furniture,Home Office,7,Tables,Tampa,609.03,188.29
ORD-10040,2021-01-02 16:00:00,Georgia,Technology,Home Office,5,Laptops,Atlanta,1142.28,255.38
ORD-10041,2021-01-02 17:00:00,Texas,Technology,Corporate,5,Phones,Houston,1240.44,423.8
ORD-10042,2021-01-02 18:00:00,Michigan,Furniture,Corporate,8,Tables,Detroit,149.35,35.39
ORD-10043,2021-01-02 19:00:00,Georgia,Office Supplies,Consumer,7,Binders,Savannah,1331.52,-49.61
ORD-10044,2021-01-02 20:00:00,Michigan,Technology,Corporate,9,Phones,Detroit,1060.85,349.64
ORD-10045,2021-01-02 21:00:00,Washington,Office Supplies,Home Office,4,Paper,Seattle,1656.98,564.97
ORD-10046,2021-01-02 22:00:00,Texas,Furniture,Home Office,4,Tables,Dallas,452.16,-59.82
ORD-10047,2021-01-02 23:00:00,Florida,Technology,Corporate,2,Phones,Orlando,398.1,117.67
ORD-10048,2021-01-03 00:00:00,Pennsylvania,Technology,Home Office,3,Phones,Philadelphia,1588.74,262.64
ORD-10049,2021-01-03 01:00:00,Ohio,Furniture,Consumer,1,Tables,Cleveland,1410.7,433.22
ORD-10050,2021-01-03 02:00:00,New York,Technology,Home Office,1,Phones,New York City,1585.43,481.43
ORD-10051,2021-01-03 03:00:00,California,Furniture,Consumer,7,Chairs,San Francisco,1566.05,454.55
ORD-10052,2021-01-03 04:00:00,Florida,Technology,Home Office,5,Laptops,Orlando,216.96,62.25
ORD-10053,2021-01-03 05:00:00,Texas,Furniture,Consumer,3,Tables,Austin,564.38,-76.36
ORD-10054,2021-01-03 06:00:00,Ohio,Technology,Consumer,7,Accessories,Columbus,527.57,-63.87
ORD-10055,2021-01-03 07:00:00,Florida,Office Supplies,Corporate,2,Paper,Tampa,1869.83,-252.84
ORD-10056,2021-01-03 08:00:00,Texas,Office Supplies,Consumer,3,Paper,Austin,980.06,-146.94
ORD-10057,2021-01-03 09:00:00,Illinois,Office Supplies,Corporate,1,Paper,Naperville,231.0,-1.32
ORD-10058,2021-01-03 10:00:00,Illinois,Technology,Home Office,8,Accessories,Aurora,586.26,103.29
ORD-10059,2021-01-03 11:00:00,Michigan,Technology,Home Office,2,Phones,Detroit,1745.08,-8.58
ORD-10060,2021-01-03 12:00:00,Florida,Office Supplies,Home Office,7,Paper,Orlando,1695.66,332.63
ORD-10061,2021-01-03 13:00:00,Illinois,Office Supplies,Consumer,9,Paper,Naperville,1801.68,452.5
ORD-10062,2021-01-03 14:00:00,Texas,Furniture,Home Office,6,Bookcases,Austin,783.17,130.33
ORD-10063,2021-01-03 15:00:00,Michigan,Furniture,Home Office,2,Bookcases,Detroit,1286.27,71.78
ORD-10064,2021-01-03 16:00:00,Texas,Furniture,Corporate,2,Bookcases,Austin,563.57,-21.11
ORD-10065,2021-01-03 17:00:00,Michigan,Office Supplies,Corporate,9,Binders,Grand Rapids,369.84,-48.66
ORD-10066,2021-01-03 18:00:00,Florida,Office Supplies,Home Office,8,Storage,Miami,53.58,3.83
ORD-10067,2021-01-03 19:00:00,Ohio,Office Supplies,Home Office,9,Binders,Cincinnati,454.65,89.01
ORD-10068,2021-01-03 20:00:00,Pennsylvania,Furniture,Consumer,4,Tables,Pittsburgh,1212.7,123.13
ORD-10069,2021-01-03 21:00:00,Georgia,Technology,Consumer,4,Laptops,Savannah,1809.38,356.11
ORD-10070,2021-01-03 22:00:00,Ohio,Office Supplies,Home Office,2,Paper,Columbus,275.51,-4.31
ORD-10071,2021-01-03 23:00:00,Washington,Technology,Corporate,1,Accessories,Spokane,1836.84,-299.89
ORD-10072,2021-01-04 00:00:00,Texas,Technology,Home Office,4,Laptops,Houston,697.32,156.27
ORD-10073,2021-01-04 01:00:00,Washington,Technology,Consumer,8,Accessories,Seattle,859.39,-68.02
ORD-10074,2021-01-04 02:00:00,Ohio,Furniture,Corporate,2,Chairs,Columbus,736.31,102.32
ORD-10075,2021-01-04 03:00:00,Michigan,Technology,Corporate,8,Laptops,Grand Rapids,823.13,199.49
ORD-10076,2021-01-04 04:00:00,Georgia,Office Supplies,Consumer,1,Binders,Atlanta,525.79,-64.93
ORD-10077,2021-01-04 05:00:00,Georgia,Furniture,Home Office,1,Bookcases,Atlanta,1400.22,180.87
ORD-10078,2021-01-04 06:00:00,California,Office Supplies,Home Office,4,Storage,San Francisco,1518.78,272.1
ORD-10079,2021-01-04 07:00:00,Georgia,Office Supplies,Home Office,7,Paper,Atlanta,1647.99,347.05
ORD-10080,2021-01-04 08:00:00,Pennsylvania,Furniture,Consumer,9,Tables,Allentown,689.17,-81.86
ORD-10081,2021-01-04 09:00:00,Georgia,Office Supplies,Corporate,5,Storage,Savannah,1531.61,388.74
ORD-10082,2021-01-04 10:00:00,Ohio,Office Supplies,Consumer,2,Paper,Cleveland,1278.97,-189.57
ORD-10083,2021-01-04 11:00:00,California,Furniture,Home Office,7,Tables,San Francisco,1916.25,164.36
ORD-10084,2021-01-04 12:00:00,Ohio,Office Supplies,Consumer,2,Binders,Cincinnati,855.32,37.53
ORD-10085,2021-01-04 13:00:00,Ohio,Technology,Corporate,9,Accessories,Columbus,1984.7,-154.86
ORD-10086,2021-01-04 14:00:00,New York,Office Supplies,Consumer,9,Binders,Buffalo,1483.38,-50.34
ORD-10087,2021-01-04 15:00:00,California,Technology,Home Office,3,Laptops,San Francisco,1554.79,-170.34
ORD-10088,2021-01-04 16:00:00,Ohio,Office Supplies,Corporate,8,Binders,Cleveland,61.15,2.09
ORD-10089,2021-01-04 17:00:00,New York,Furniture,Consumer,4,Bookcases,Rochester,999.82,-180.44
ORD-10090,2021-01-04 18:00:00,New York,Furniture,Consumer,3,Chairs,Rochester,1061.39,306.64
ORD-10091,2021-01-04 19:00:00,California,Office Supplies,Corporate,1,Binders,San Diego,90.79,-9.99
ORD-10092,2021-01-04 20:00:00,Washington,Furniture,Corporate,5,Tables,Seattle,631.14,181.33
ORD-10093,2021-01-04 21:00:00,Michigan,Office Supplies,Home Office,4,Storage,Detroit,1911.73,525.66
ORD-10094,2021-01-04 22:00:00,Pennsylvania,Furniture,Corporate,1,Tables,Allentown,857.96,41.54
ORD-10095,2021-01-04 23:00:00,Michigan,Technology,Home Office,8,Laptops,Detroit,381.54,28.14
ORD-10096,2021-01-05 00:00:00,Georgia,Office Supplies,Consumer,8,Storage,Augusta,1031.54,-35.02
ORD-10097,2021-01-05 01:00:00,Pennsylvania,Technology,Home Office,8,Phones,Philadelphia,77.19,26.88
ORD-10098,2021-01-05 02:00:00,Georgia,Technology,Consumer,3,Laptops,Atlanta,1036.82,175.14
ORD-10099,2021-01-05 03:00:00,Ohio,Office Supplies,Corporate,6,Binders,Cincinnati,1192.59,385.8
ORD-10100,2021-01-05 04:00:00,Texas,Technology,Consumer,7,Accessories,Dallas,721.81,20.31
ORD-10101,2021-01-05 05:00:00,California,Office Supplies,Corporate,9,Paper,San Francisco,1527.53,436.35
ORD-10102,2021-01-05 06:00:00,Pennsylvania,Technology,Consumer,5,Phones,Philadelphia,280.07,13.03
ORD-10103,2021-01-05 07:00:00,Pennsylvania,Office Supplies,Consumer,9,Binders,Philadelphia,1757.58,486.42
ORD-10104,2021-01-05 08:00:00,Ohio,Office Supplies,Consumer,6,Paper,Columbus,1911.34,-244.63
ORD-10105,2021-01-05 09:00:00,Washington,Furniture,Consumer,4,Bookcases,Seattle,12.46,1.87
ORD-10106,2021-01-05 10:00:00,New York,Office Supplies,Home Office,1,Binders,New York City,1687.02,292.34
ORD-10107,2021-01-05 11:00:00,Ohio,Office Supplies,Consumer,1,Storage,Columbus,1017.15,163.65
ORD-10108,2021-01-05 12:00:00,Illinois,Technology,Home Office,5,Laptops,Naperville,928.2,42.57
ORD-10109,2021-01-05 13:00:00,New York,Office Supplies,Corporate,3,Binders,Buffalo,484.97,85.43
ORD-10110,2021-01-05 14:00:00,California,Furniture,Corporate,5,Chairs,San Francisco,900.18,-61.48
ORD-10111,2021-01-05 15:00:00,New York,Technology,Home Office,5,Phones,Rochester,1901.35,242.83
ORD-10112,2021-01-05 16:00:00,Washington,Technology,Corporate,1,Accessories,Tacoma,429.47,45.02
ORD-10113,2021-01-05 17:00:00,New York,Furniture,Corporate,8,Chairs,Buffalo,366.29,-9.13
ORD-10114,2021-01-05 18:00:00,California,Technology,Consumer,5,Phones,San Francisco,491.37,112.22
ORD-10115,2021-01-05 19:00:00,Washington,Technology,Consumer,5,Laptops,Seattle,1108.15,-172.34
ORD-10116,2021-01-05 20:00:00,Michigan,Technology,Consumer,9,Phones,Grand Rapids,1861.3,-196.75
ORD-10117,2021-01-05 21:00:00,Pennsylvania,Technology,Home Office,8,Accessories,Philadelphia,1152.02,68.12
ORD-10118,2021-01-05 22:00:00,Pennsylvania,Furniture,Home Office,1,Tables,Philadelphia,494.53,143.64
ORD-10119,2021-01-05 23:00:00,Georgia,Furniture,Corporate,3,Tables,Savannah,886.5,103.13
ORD-10120,2021-01-06 00:00:00,Michigan,Technology,Consumer,7,Phones,Detroit,786.9,207.06
ORD-10121,2021-01-06 01:00:00,Michigan,Technology,Home Office,1,Laptops,Detroit,102.67,8.69
ORD-10122,2021-01-06 02:00:00,New York,Furniture,Home Office,1,Chairs,Rochester,1026.18,238.07
ORD-10123,2021-01-06 03:00:00,Pennsylvania,Furniture,Consumer,5,Tables,Pittsburgh,260.75,-5.43
ORD-10124,2021-01-06 04:00:00,California,Furniture,Home Office,9,Bookcases,San Diego,1686.07,418.7
ORD-10125,2021-01-06 05:00:00,Florida,Technology,Consumer,6,Phones,Miami,1102.44,23.07
ORD-10126,2021-01-06 06:00:00,Florida,Technology,Corporate,2,Accessories,Miami,1690.77,181.52
ORD-10127,2021-01-06 07:00:00,Washington,Office Supplies,Corporate,9,Binders,Tacoma,1912.53,-197.5
ORD-10128,2021-01-06 08:00:00,Pennsylvania,Furniture,Corporate,6,Bookcases,Allentown,1886.94,577.85
ORD-10129,2021-01-06 09:00:00,Pennsylvania,Technology,Consumer,5,Accessories,Allentown,209.85,38.99
ORD-10130,2021-01-06 10:00:00,Florida,Furniture,Home Office,5,Tables,Miami,1890.19,514.83
ORD-10131,2021-01-06 11:00:00,Pennsylvania,Technology,Corporate,3,Phones,Pittsburgh,1593.54,-136.53
ORD-10132,2021-01-06 12:00:00,New York,Furniture,Corporate,6,Tables,New York City,1557.54,-253.53
ORD-10133,2021-01-06 13:00:00,Illinois,Technology,Corporate,4,Accessories,Naperville,189.36,-2.75
ORD-10134,2021-01-06 14:00:00,Texas,Office Supplies,Home Office,2,Binders,Dallas,367.23,30.91
ORD-10135,2021-01-06 15:00:00,Michigan,Office Supplies,Home Office,3,Storage,Ann Arbor,1950.58,470.68
ORD-10136,2021-01-06 16:00:00,Georgia,Furniture,Consumer,9,Bookcases,Atlanta,434.61,8.15
ORD-10137,2021-01-06 17:00:00,Washington,Technology,Corporate,9,Accessories,Spokane,346.42,-17.85
ORD-10138,2021-01-06 18:00:00,Illinois,Technology,Home Office,6,Accessories,Aurora,731.08,3.58
ORD-10139,2021-01-06 19:00:00,Florida,Furniture,Consumer,9,Tables,Miami,1827.58,341.73
ORD-10140,2021-01-06 20:00:00,Michigan,Technology,Corporate,4,Accessories,Ann Arbor,957.62,-14.44
ORD-10141,2021-01-06 21:00:00,Pennsylvania,Furniture,Home Office,5,Tables,Allentown,1841.96,623.58
ORD-10142,2021-01-06 22:00:00,Georgia,Technology,Home Office,6,Accessories,Augusta,675.33,-70.07
ORD-10143,2021-01-06 23:00:00,Pennsylvania,Furniture,Consumer,9,Chairs,Philadelphia,460.79,98.7
ORD-10144,2021-01-07 00:00:00,California,Technology,Corporate,5,Accessories,San Diego,995.45,123.48
ORD-10145,2021-01-07 01:00:00,California,Furniture,Corporate,8,Bookcases,San Francisco,1234.8,-88.66
ORD-10146,2021-01-07 02:00:00,Georgia,Technology,Home Office,1,Phones,Augusta,789.08,169.25
ORD-10147,2021-01-07 03:00:00,Georgia,Office Supplies,Corporate,5,Binders,Augusta,698.6,32.24
ORD-10148,2021-01-07 04:00:00,Florida,Technology,Consumer,1,Accessories,Tampa,443.94,77.83
ORD-10149,2021-01-07 05:00:00,Georgia,Furniture,Home Office,6,Bookcases,Savannah,557.26,91.53
ORD-10150,2021-01-07 06:00:00,New York,Office Supplies,Home Office,7,Paper,Rochester,1349.5,-187.78
ORD-10151,2021-01-07 07:00:00,Pennsylvania,Technology,Consumer,5,Phones,Pittsburgh,746.05,195.46
ORD-10152,2021-01-07 08:00:00,Illinois,Office Supplies,Home Office,1,Binders,Chicago,168.72,29.49
ORD-10153,2021-01-07 09:00:00,Ohio,Technology,Corporate,6,Laptops,Cleveland,284.93,65.34
ORD-10154,2021-01-07 10:00:00,Georgia,Office Supplies,Corporate,5,Storage,Atlanta,751.03,34.75
ORD-10155,2021-01-07 11:00:00,Washington,Furniture,Home Office,6,Bookcases,Spokane,1849.76,-171.5
ORD-10156,2021-01-07 12:00:00,California,Technology,Consumer,7,Phones,Los Angeles,764.27,-15.73
ORD-10157,2021-01-07 13:00:00,New York,Technology,Consumer,7,Laptops,New York City,130.68,38.66
ORD-10158,2021-01-07 14:00:00,Michigan,Furniture,Corporate,2,Bookcases,Ann Arbor,841.81,265.94
ORD-10159,2021-01-07 15:00:00,Ohio,Office Supplies,Consumer,3,Binders,Cleveland,1340.95,87.2
ORD-10160,2021-01-07 16:00:00,Illinois,Furniture,Home Office,6,Bookcases,Aurora,1191.26,-42.48
ORD-10161,2021-01-07 17:00:00,Ohio,Furniture,Home Office,3,Bookcases,Cleveland,564.82,113.91
ORD-10162,2021-01-07 18:00:00,Georgia,Office Supplies,Corporate,2,Storage,Atlanta,1379.3,305.23
ORD-10163,2021-01-07 19:00:00,Florida,Furniture,Corporate,4,Chairs,Orlando,1264.94,314.35
ORD-10164,2021-01-07 20:00:00,California,Technology,Corporate,5,Laptops,San Francisco,352.62,-64.5
ORD-10165,2021-01-07 21:00:00,California,Technology,Consumer,9,Laptops,San Diego,332.67,-64.75
ORD-10166,2021-01-07 22:00:00,Michigan,Technology,Home Office,3,Accessories,Ann Arbor,1098.89,-3.92
ORD-10167,2021-01-07 23:00:00,Florida,Furniture,Home Office,3,Tables,Miami,1322.28,-153.55
ORD-10168,2021-01-08 00:00:00,Pennsylvania,Technology,Home Office,6,Accessories,Pittsburgh,1924.2,467.08
ORD-10169,2021-01-08 01:00:00,Texas,Technology,Corporate,5,Phones,Austin,849.64,79.07
ORD-10170,2021-01-08 02:00:00,New York,Technology,Home Office,6,Phones,Buffalo,1532.23,389.1
ORD-10171,2021-01-08 03:00:00,California,Technology,Consumer,7,Phones,San Francisco,241.88,-24.84
ORD-10172,2021-01-08 04:00:00,Washington,Technology,Consumer,3,Accessories,Spokane,1780.32,258.1
ORD-10173,2021-01-08 05:00:00,California,Technology,Home Office,5,Laptops,San Diego,1269.88,151.24
ORD-10174,2021-01-08 06:00:00,Ohio,Furniture,Corporate,8,Chairs,Columbus,1261.77,-16.14
ORD-10175,2021-01-08 07:00:00,California,Technology,Home Office,4,Accessories,Los Angeles,293.46,24.77
ORD-10176,2021-01-08 08:00:00,California,Technology,Consumer,2,Laptops,San Diego,88.77,11.0
ORD-10177,2021-01-08 09:00:00,Texas,Office Supplies,Consumer,4,Paper,Dallas,1405.88,406.61
ORD-10178,2021-01-08 10:00:00,Texas,Furniture,Consumer,2,Tables,Dallas,242.94,-41.15
ORD-10179,2021-01-08 11:00:00,Illinois,Furniture,Home Office,3,Bookcases,Chicago,262.67,66.42
ORD-10180,2021-01-08 12:00:00,Pennsylvania,Furniture,Consumer,4,Bookcases,Allentown,383.13,129.91
ORD-10181,2021-01-08 13:00:00,Washington,Furniture,Corporate,4,Bookcases,Tacoma,204.52,41.41
ORD-10182,2021-01-08 14:00:00,California,Technology,Home Office,9,Phones,Los Angeles,1254.53,257.86
ORD-10183,2021-01-08 15:00:00,California,Technology,Home Office,6,Accessories,San Diego,849.79,-68.08
ORD-10184,2021-01-08 16:00:00,New York,Office Supplies,Consumer,9,Binders,Rochester,539.53,47.31
ORD-10185,2021-01-08 17:00:00,Texas,Office Supplies,Consumer,4,Binders,Houston,887.09,167.01
ORD-10186,2021-01-08 18:00:00,Washington,Furniture,Corporate,9,Chairs,Seattle,1689.84,221.8
ORD-10187,2021-01-08 19:00:00,Michigan,Office Supplies,Home Office,9,Storage,Ann Arbor,1854.89,21.93
ORD-10188,2021-01-08 20:00:00,Illinois,Office Supplies,Consumer,6,Binders,Naperville,980.08,310.75
ORD-10189,2021-01-08 21:00:00,Pennsylvania,Furniture,Corporate,5,Bookcases,Philadelphia,1137.84,94.09
ORD-10190,2021-01-08 22:00:00,Florida,Furniture,Consumer,3,Bookcases,Miami,521.83,173.99
ORD-10191,2021-01-08 23:00:00,Pennsylvania,Office Supplies,Home Office,5,Binders,Pittsburgh,1032.06,113.66
ORD-10192,2021-01-09 00:00:00,Ohio,Technology,Consumer,3,Phones,Cincinnati,1498.76,354.25
ORD-10193,2021-01-09 01:00:00,California,Office Supplies,Home Office,5,Binders,San Diego,989.35,205.9
ORD-10194,2021-01-09 02:00:00,Illinois,Office Supplies,Consumer,5,Storage,Chicago,611.13,99.89
ORD-10195,2021-01-09 03:00:00,Ohio,Technology,Home Office,2,Accessories,Columbus,1168.25,-224.36
ORD-10196,2021-01-09 04:00:00,Washington,Technology,Corporate,9,Phones,Spokane,1893.85,-298.12
ORD-10197,2021-01-09 05:00:00,Florida,Furniture,Home Office,7,Chairs,Tampa,1777.09,212.92
ORD-10198,2021-01-09 06:00:00,Texas,Furniture,Corporate,6,Tables,Houston,1540.79,464.52
ORD-10199,2021-01-09 07:00:00,Illinois,Office Supplies,Home Office,5,Binders,Naperville,559.66,73.11
ORD-10200,2021-01-09 08:00:00,Illinois,Technology,Corporate,4,Laptops,Aurora,490.7,-34.45
ORD-10201,2021-01-09 09:00:00,California,Furniture,Consumer,8,Tables,Los Angeles,1678.69,-40.09
ORD-10202,2021-01-09 10:00:00,Georgia,Office Supplies,Home Office,2,Storage,Atlanta,370.82,52.93
ORD-10203,2021-01-09 11:00:00,Illinois,Technology,Consumer,8,Accessories,Chicago,1215.17,156.0
ORD-10204,2021-01-09 12:00:00,New York,Office Supplies,Corporate,1,Paper,Rochester,883.47,287.69
ORD-10205,2021-01-09 13:00:00,Florida,Furniture,Home Office,1,Tables,Miami,941.29,85.65
ORD-10206,2021-01-09 14:00:00,Florida,Furniture,Home Office,3,Chairs,Miami,914.54,-4.34
ORD-10207,2021-01-09 15:00:00,New York,Technology,Consumer,5,Laptops,Rochester,1800.9,159.82
ORD-10208,2021-01-09 16:00:00,Michigan,Office Supplies,Home Office,6,Binders,Detroit,183.32,42.61
ORD-10209,2021-01-09 17:00:00,New York,Technology,Home Office,4,Accessories,New York City,1567.97,152.41
ORD-10210,2021-01-09 18:00:00,New York,Furniture,Consumer,7,Chairs,Buffalo,1671.68,-34.56
ORD-10211,2021-01-09 19:00:00,Florida,Furniture,Home Office,7,Bookcases,Miami,1886.33,-25.95
ORD-10212,2021-01-09 20:00:00,Pennsylvania,Office Supplies,Consumer,2,Paper,Allentown,910.67,196.93
ORD-10213,2021-01-09 21:00:00,Florida,Office Supplies,Consumer,2,Paper,Tampa,1005.13,-164.29
ORD-10214,2021-01-09 22:00:00,Georgia,Office Supplies,Consumer,2,Paper,Atlanta,1922.98,-94.0
ORD-10215,2021-01-09 23:00:00,California,Technology,Consumer,2,Phones,San Diego,922.32,-106.83
ORD-10216,2021-01-10 00:00:00,Ohio,Office Supplies,Consumer,9,Storage,Columbus,1012.06,323.43
ORD-10217,2021-01-10 01:00:00,Pennsylvania,Office Supplies,Corporate,5,Storage,Pittsburgh,671.19,-100.98
ORD-10218,2021-01-10 02:00:00,Texas,Furniture,Corporate,8,Bookcases,Austin,72.94,15.83
ORD-10219,2021-01-10 03:00:00,Ohio,Furniture,Consumer,5,Bookcases,Cleveland,871.78,127.92
ORD-10220,2021-01-10 04:00:00,California,Office Supplies,Corporate,5,Storage,San Diego,1313.63,194.47
ORD-10221,2021-01-10 05:00:00,Georgia,Office Supplies,Corporate,1,Binders,Augusta,1382.99,304.1
ORD-10222,2021-01-10 06:00:00,Georgia,Furniture,Home Office,6,Bookcases,Atlanta,22.95,0.47
ORD-10223,2021-01-10 07:00:00,Texas,Office Supplies,Consumer,4,Paper,Austin,1604.1,32.74
ORD-10224,2021-01-10 08:00:00,Pennsylvania,Technology,Corporate,3,Accessories,Allentown,989.91,-40.8
ORD-10225,2021-01-10 09:00:00,Michigan,Technology,Home Office,6,Laptops,Detroit,1046.28,134.72
ORD-10226,2021-01-10 10:00:00,New York,Technology,Home Office,2,Phones,Rochester,1923.87,599.08
ORD-10227,2021-01-10 11:00:00,Pennsylvania,Office Supplies,Consumer,8,Binders,Allentown,576.08,177.54
ORD-10228,2021-01-10 12:00:00,Michigan,Furniture,Consumer,1,Tables,Ann Arbor,1525.69,284.74
ORD-10229,2021-01-10 13:00:00,Georgia,Office Supplies,Home Office,9,Storage,Augusta,1153.8,344.3
ORD-10230,2021-01-10 14:00:00,Florida,Office Supplies,Consumer,8,Binders,Miami,1404.59,463.42
ORD-10231,2021-01-10 15:00:00,California,Furniture,Consumer,1,Chairs,Los Angeles,841.46,199.68
ORD-10232,2021-01-10 16:00:00,Texas,Furniture,Home Office,9,Chairs,Dallas,565.62,13.75
ORD-10233,2021-01-10 17:00:00,California,Furniture,Home Office,2,Bookcases,San Diego,1096.79,72.14
ORD-10234,2021-01-10 18:00:00,Washington,Technology,Consumer,3,Laptops,Seattle,756.13,236.06
ORD-10235,2021-01-10 19:00:00,Washington,Office Supplies,Corporate,2,Paper,Tacoma,453.59,76.43
ORD-10236,2021-01-10 20:00:00,Pennsylvania,Furniture,Consumer,8,Bookcases,Philadelphia,1680.08,422.34
ORD-10237,2021-01-10 21:00:00,Georgia,Office Supplies,Corporate,2,Binders,Savannah,956.9,-130.27
ORD-10238,2021-01-10 22:00:00,Georgia,Technology,Home Office,2,Accessories,Augusta,1696.16,-158.34
ORD-10239,2021-01-10 23:00:00,New York,Technology,Corporate,1,Accessories,Buffalo,953.32,-10.24
ORD-10240,2021-01-11 00:00:00,New York,Furniture,Home Office,7,Tables,Buffalo,1118.03,-107.85
ORD-10241,2021-01-11 01:00:00,New York,Furniture,Consumer,2,Bookcases,Buffalo,1990.61,594.31
ORD-10242,2021-01-11 02:00:00,Florida,Office Supplies,Consumer,5,Storage,Miami,1903.49,-153.63
ORD-10243,2021-01-11 03:00:00,Ohio,Furniture,Home Office,5,Chairs,Cincinnati,550.66,58.62
ORD-10244,2021-01-11 04:00:00,Illinois,Office Supplies,Home Office,3,Binders,Chicago,1738.62,-266.01
ORD-10245,2021-01-11 05:00:00,Ohio,Furniture,Home Office,3,Tables,Columbus,786.9,-90.31
ORD-10246,2021-01-11 06:00:00,California,Office Supplies,Consumer,3,Binders,San Diego,151.78,-9.7
ORD-10247,2021-01-11 07:00:00,Ohio,Office Supplies,Consumer,6,Storage,Cincinnati,1155.8,393.66
ORD-10248,2021-01-11 08:00:00,Florida,Office Supplies,Corporate,4,Storage,Orlando,1954.33,465.88
